Car_category,year_month,forecast_lower,Chronos Large,forecast_upper
BEV,2015-05-01,3251.582177734375,3970.6651611328125,35709.80859375
BEV,2015-06-01,1914.646044921875,2469.6663818359375,35709.80859375
BEV,2015-07-01,1462.6011108398438,1928.6088256835938,35709.80859375
BEV,2015-08-01,1089.0967651367187,1727.8939819335938,35709.80859375
BEV,2015-09-01,1041.9724487304688,1509.7255249023438,35709.80859375
BEV,2015-10-01,748.7540954589844,1204.2896728515625,35709.80859375
BEV,2015-11-01,844.7481506347657,1204.289794921875,35709.80859375
BEV,2015-12-01,865.6923156738281,1169.3827514648438,35709.80859375
PHEV,2015-05-01,3222.3786865234374,3829.788330078125,4233.657177734375
PHEV,2015-06-01,2097.5456787109374,3026.3363037109375,3627.3184814453125
PHEV,2015-07-01,1570.481103515625,2458.5634765625,3493.4098876953126
PHEV,2015-08-01,1199.8217407226562,2153.2515258789062,3462.3429931640626
PHEV,2015-09-01,789.525634765625,1997.9175415039062,3426.9908203125
PHEV,2015-10-01,799.1670166015625,2030.0556030273438,3463.4142578125
PHEV,2015-11-01,809.8797241210938,1901.5032958984375,3482.6972412109376
PHEV,2015-12-01,758.4588317871094,1810.4454345703125,3497.694970703125
