year_month,Car_category,sales,Consumer_price_index,Consumer_confidence_index,Producer_price_index,Fuel_retail_price,Vehicle_price,Baidu_data
2011-01-01,BEV,588,104.9,99.9,106.6,100.2,101.28,1.661
2011-02-01,BEV,47,104.9,99.6,107.2,100.8,102.01,2.208
2011-03-01,BEV,159,105.4,107.6,107.3,99.7,101.89,2.592
2011-04-01,BEV,173,105.3,106.6,106.8,103.2,101.7,4.502
2011-05-01,BEV,305,105.5,105.8,106.8,101,101.63,2.484
2011-06-01,BEV,319,106.4,108.1,107.1,99.3,101.51,2.164
2011-07-01,BEV,535,106.5,105.6,107.5,99.8,101.88,1.962
2011-08-01,BEV,917,106.2,105,107.3,100.1,102.1,2.059
2011-09-01,BEV,57,106.1,103.4,106.5,100.3,102.08,2.323
2011-10-01,BEV,554,105.5,100.5,105,99.1,102.04,2.692
2011-11-01,BEV,325,104.2,97,102.7,99.6,102.01,2.58
2011-12-01,BEV,2137,104.1,100.5,101.7,100.2,101.92,2.175
2012-01-01,BEV,205,104.55,103.9,100.73,100.1,99.82,2.043
2012-02-01,BEV,49,103.16,105,100.03,101.5,99.49,2.529
2012-03-01,BEV,461,103.59,100,99.68,103.1,99.18,2.641
2012-04-01,BEV,610,103.31,103,99.02,102.1,99.12,2.93
2012-05-01,BEV,469,103,104.2,98.6,98,99.35,2.623
2012-06-01,BEV,266,102.15,99.3,97.92,96.2,99.54,2.478
2012-07-01,BEV,364,101.78,98.2,97.13,97.5,99.62,2.237
2012-08-01,BEV,93,102.05,99.4,95.52,101.5,99.5,2.374
2012-09-01,BEV,910,101.91,100.8,96.45,102.8,99.72,2.856
2012-10-01,BEV,1303,101.72,106.1,97.24,101.1,99.71,2.924
2012-11-01,BEV,2161,102.04,105.1,97.08,99.7,99.54,2.851
2012-12-01,BEV,3553,102.52,103.7,98.06,99.5,99.36,2.754
2013-01-01,BEV,1476,102.03,104.5,98.36,100.2,99.8,3.195
2013-02-01,BEV,540,103.22,108.2,98.37,100.2,100,2.283
2013-03-01,BEV,808,102.07,102.6,98.8,101,100.01,3.289
2013-04-01,BEV,784,102.39,103.7,97.38,98.1,100.05,2.395
2013-05-01,BEV,1167,102.1,99,97.13,98.4,100.21,2.184
2013-06-01,BEV,588,102.67,97,97.3,99.6,100.5,2.109
2013-07-01,BEV,752,102.67,97.2,97.73,100.4,100.53,3.384
2013-08-01,BEV,935,102.57,97.8,98.37,101,100.64,3.203
2013-09-01,BEV,1556,103.05,99.8,98.66,101.6,100.6,3.109
2013-10-01,BEV,847,103.21,102.9,98.49,99.3,100.73,3.17
2013-11-01,BEV,1683,103.02,98.9,98.58,99.6,101.1,3.08
2013-12-01,BEV,6985,102.5,102.3,98.64,100.7,100.9,3.12
2014-01-01,BEV,2169,102.49,101.1,98.36,100.1,100,2.633
2014-02-01,BEV,948,101.95,103.1,97.98,99.3,99.9,4.694
2014-03-01,BEV,2386,102.38,107.9,97.7,100.7,99.5,4.856
2014-04-01,BEV,1753,101.8,104.8,98,99.4,99.2,4.116
2014-05-01,BEV,1837,102.48,102.3,98.55,100.3,98.8,4.24
2014-06-01,BEV,2408,102.34,104.7,98.89,100,98,4.874
2014-07-01,BEV,4090,102.29,104.4,99.13,100.1,97.7,5.026
2014-08-01,BEV,2731,101.99,103.8,98.8,98.6,96.9,5.964
2014-09-01,BEV,5755,101.63,105.4,98.2,98.6,96.3,6.429
