Car_category,year_month,MOIRAI,forecast_lower,forecast_upper
BEV,2015-05-01,5518.6016,269.177490234375,13730.5859375
BEV,2015-06-01,3002.3843,-2060.39853515625,12516.601562500007
BEV,2015-07-01,1723.8239,-871.1262451171875,9947.275390625
BEV,2015-08-01,6538.372,1992.0839111328125,10029.200195312507
BEV,2015-09-01,2380.6538,-4046.130029296875,11642.765820312512
BEV,2015-10-01,1383.6761,-446.6643798828125,13730.5859375
BEV,2015-11-01,6163.9644,-765.2126953124998,10735.143359375028
BEV,2015-12-01,2577.4492,-540.7907470703125,13730.5859375
PHEV,2015-05-01,3116.103,823.1994567871094,6429.044726562503
PHEV,2015-06-01,1348.3875,-1173.32587890625,4734.19873046875
PHEV,2015-07-01,1461.2115,311.738818359375,5923.950000000003
PHEV,2015-08-01,3264.1755,294.2257446289063,5965.381689453129
PHEV,2015-09-01,2002.877,-1469.965283203125,6370.6923828125
PHEV,2015-10-01,1778.2585,-175.9109741210937,6370.6923828125
PHEV,2015-11-01,3126.0962,361.9366821289062,6370.6923828125
PHEV,2015-12-01,1818.4131,-117.99364013671875,6370.6923828125
